Location,Household Type,TimeFrame,DataFormat,Data,Fips
Central Harlem,Families with Children,2022,Dollars,65750.13088,110
Central Harlem,Families without Children,2022,Dollars,68179.59142,110
Chelsea/Clinton,All Households,2022,Dollars,114323.76813,104
Chelsea/Clinton,Families,2022,Dollars,170712.1701,104
Chelsea/Clinton,Families with Children,2022,Dollars,#VALUE!,104
Chelsea/Clinton,Families without Children,2022,Dollars,#VALUE!,104
Concourse/Highbridge,All Households,2022,Dollars,44605.51837,204
Concourse/Highbridge,Families,2022,Dollars,50485.02052,204
Concourse/Highbridge,Families with Children,2022,Dollars,39656.27121,204
Concourse/Highbridge,Families without Children,2022,Dollars,63965.4118,204
Coney Island,All Households,2022,Dollars,44795.51465,313
Coney Island,Families,2022,Dollars,67116.44288,313
Coney Island,Families with Children,2022,Dollars,42280.91917,313
Coney Island,Families without Children,2022,Dollars,73156.87082,313
Crown Heights North,All Households,2022,Dollars,81602.87999,308
Crown Heights North,Families,2022,Dollars,93699.30935,308
Crown Heights North,Families with Children,2022,Dollars,119318.69746,308
Crown Heights North,Families without Children,2022,Dollars,76693.0856,308
Crown Heights South,All Households,2022,Dollars,80067.33635,309
Crown Heights South,Families,2022,Dollars,93525.92478,309
Crown Heights South,Families with Children,2022,Dollars,80179.46529,309
Crown Heights South,Families without Children,2022,Dollars,94904.69554,309
East Flatbush,All Households,2022,Dollars,73583.58376,317
East Flatbush,Families,2022,Dollars,89455.02103,317
East Flatbush,Families with Children,2022,Dollars,73717.51556,317
East Flatbush,Families without Children,2022,Dollars,97810.70411,317
East Harlem,All Households,2022,Dollars,36929.8766,111
East Harlem,Families,2022,Dollars,42071.19651,111
East Harlem,Families with Children,2022,Dollars,38623.23136,111
East Harlem,Families without Children,2022,Dollars,55042.8546,111
East New York,All Households,2022,Dollars,56511.95146,305
East New York,Families,2022,Dollars,66253.67292,305
East New York,Families with Children,2022,Dollars,53210.37689,305
East New York,Families without Children,2022,Dollars,84786.09623,305
East Tremont,All Households,2022,Dollars,32309.74866,206
East Tremont,Families,2022,Dollars,44060.4471,206
East Tremont,Families with Children,2022,Dollars,34430.85459,206
East Tremont,Families without Children,2022,Dollars,52737.98178,206
Elmhurst/Corona,All Households,2022,Dollars,66475.85435,404
Elmhurst/Corona,Families,2022,Dollars,68083.03594,404
Elmhurst/Corona,Families with Children,2022,Dollars,55280.6095,404
Elmhurst/Corona,Families without Children,2022,Dollars,76569.53611,404
Flatbush/Midwood,All Households,2022,Dollars,74078.81995,314
Flatbush/Midwood,Families,2022,Dollars,87502.10852,314
Flatbush/Midwood,Families with Children,2022,Dollars,75905.06828,314
Flatbush/Midwood,Families without Children,2022,Dollars,92645.50489,314
Flushing,All Households,2022,Dollars,73203.59122,407
Flushing,Families,2022,Dollars,85470.29046,407
Flushing,Families with Children,2022,Dollars,83199.67927,407
Flushing,Families without Children,2022,Dollars,85859.62709,407
Fort Greene/Brooklyn Hts,All Households,2022,Dollars,136233.55689,302
Fort Greene/Brooklyn Hts,Families,2022,Dollars,201073.15918,302
Fort Greene/Brooklyn Hts,Families with Children,2022,Dollars,256203.22518,302
Fort Greene/Brooklyn Hts,Families without Children,2022,Dollars,182234.45772,302
Fresh Meadows/Briarwood,All Households,2022,Dollars,81072.34395,408
Fresh Meadows/Briarwood,Families,2022,Dollars,108021.70597,408
Fresh Meadows/Briarwood,Families with Children,2022,Dollars,81871.78182,408
Fresh Meadows/Briarwood,Families without Children,2022,Dollars,111601.52645,408
Greenwich Village,All Households,2022,Dollars,165381.89216,102
Greenwich Village,Families,2022,Dollars,241685.64114,102
Greenwich Village,Families with Children,2022,Dollars,259557.74954,102
Greenwich Village,Families without Children,2022,Dollars,205863.55701,102
